training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.48224145,1.4795425,-9.424714,-79.042984,-121.797775,9.244602,-8.897271,120.60818,-10.346362,-78.87314,-122.00077,0.06308493,0.001705847406387329,337.38284730911255,110000
0.46028838,1.174856,-5.14054,-79.82106,-120.5992,16.345446,-10.546455,116.09092,-7.0554643,-79.6077,-120.71454,0.06283273,0.0017887381553649902,346.32654190063477,115000
0.44271404,1.3030659,0.0,-76.993225,-120.87899,12.988491,-9.066025,105.51895,-0.18939072,-76.84745,-121.06791,0.059776142,0.0016917644500732422,354.7853672504425,120000
0.4649245,1.432957,-10.892788,-80.097176,-106.46763,13.6984415,-8.549692,102.01829,-12.222492,-80.0362,-106.521904,0.046796598,0.0016706520557403565,363.1386308670044,125000
0.43050894,2.0605958,0.0,-77.19145,-103.50347,13.942678,-21.277475,124.30171,0.29270756,-76.97508,-103.53922,0.0443468,0.0017045151233673096,371.66120958328247,130000
0.40685904,2.6143708,0.0,-79.28581,-101.46362,42.07851,-40.806126,354.15735,-0.05192204,-79.08676,-101.47513,0.34601927,0.001696118402481079,380.14180517196655,135000
0.43959543,2.35178,0.0,-77.25091,-101.07114,22.307947,-16.152605,146.59442,-0.18909006,-76.98706,-101.07486,0.0785601,0.0016992789268493653,388.6382031440735,140000
0.45849502,1.2400081,-6.4855633,-78.886925,-100.696396,13.351812,-17.263603,142.90463,-9.614414,-78.55853,-100.702774,0.089175105,0.0017010716915130616,397.1435649394989,145000
0.47677657,1.4324101,-3.4832716,-78.70755,-100.14478,18.813772,-13.345712,119.980995,-4.6741095,-78.53305,-100.21039,0.08526136,0.0017693435668945311,405.99028611183167,150000
0.44784063,1.0759087,0.0,-78.247406,-100.02618,5.1642294,-5.334681,69.88904,-0.22057539,-78.01034,-100.017494,0.057060983,0.0017314967155456543,414.64777302742004,155000
