training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.47610748,0.66095793,-74.52707,-96.89135,-97.99765,0.8501698,-1.1235139,25.028185,-77.414986,-96.8954,-97.96044,0.009604242,0.0017779969692230224,334.7236387729645,130000
0.4541518,0.31108582,-77.35056,-95.53264,-97.28138,1.35208,-1.0990996,25.189857,-76.41314,-95.51247,-97.25711,0.012124133,0.0017561774253845215,343.5045289993286,135000
0.43812907,0.35515702,-77.4519,-95.15616,-96.802536,1.5496964,-1.5624826,24.452515,-77.591225,-95.14345,-96.75143,0.004623936,0.0017463578701019287,352.2363214492798,140000
0.4193604,1.3231776,-72.31046,-93.53241,-96.1311,3.0644443,-3.7744458,43.928795,-72.26712,-93.41372,-96.082504,0.018335028,0.0017919415950775146,361.1960332393646,145000
0.42922282,0.26509553,-64.812454,-92.67207,-95.83648,0.46268594,-0.5577272,19.661774,-64.47011,-92.59251,-95.80355,0.011981361,0.0017932519435882568,370.162296295166,150000
0.41843045,0.5781915,-65.71442,-91.79677,-95.4777,1.0945916,-1.0378598,35.37729,-65.36542,-91.74742,-95.43029,0.01728575,0.001759211254119873,378.95835614204407,155000
0.47585577,0.29649484,-69.70721,-91.50888,-95.22093,0.54924244,-0.52175415,17.892838,-69.34971,-91.42079,-95.17618,0.013578376,0.001735370922088623,387.63521432876587,160000
0.47765058,0.4126082,-70.57528,-91.14617,-94.73504,1.4046037,-2.643666,22.037174,-70.226776,-91.06447,-94.70027,0.034240793,0.0017331243038177491,396.3008394241333,165000
0.49508324,0.50298,-54.3996,-90.44229,-94.625885,1.0161616,-1.2980027,19.738018,-53.90256,-90.31236,-94.568344,0.023476075,0.00180199556350708,405.31082034111023,170000
0.41539314,1.6820347,-47.965458,-89.577194,-94.28266,3.109106,-4.2787757,102.121216,-47.395546,-89.44882,-94.241615,0.0714028,0.0017467449188232423,414.0445487499237,175000
0.45042992,4.6898003,-40.899685,-89.94386,-94.642006,4.244449,-3.6244516,60.39467,-50.588955,-89.86406,-94.59295,0.14021711,0.001731025743484497,422.6996805667877,180000
